t,proc_cpu_pct_per_core,proc_cpu_pct_of_active,sys_cpu_pct,rss_mb,peak_rss_mb,pagefile_mb,page_faults_delta,threads,handles,gdi,user
30.0,4.27,0.21,197.28,158.23,158.61,70.79,101901,12,1007,45,48
60.1,2.13,0.11,92.89,158.28,158.61,70.74,102506,11,1013,45,52
90.2,1.04,0.05,65.03,158.25,158.65,70.68,103179,9,1007,45,47
120.3,0.52,0.03,44.31,157.03,158.65,71.65,103781,11,1013,47,50
150.4,0.12,0.01,30.46,157.0,158.65,71.58,104644,9,1004,47,45
180.5,0.14,0.01,24.58,157.04,158.65,71.64,105082,11,1010,47,49
210.6,0.1,0.01,17.65,157.02,158.69,71.58,105933,9,1004,47,45
240.7,0.09,0.0,15.84,157.04,158.69,71.61,106371,10,1006,47,49
270.7,0.07,0.0,22.83,156.99,158.69,71.48,107225,6,998,47,45
300.8,0.06,0.0,22.53,157.33,158.93,71.61,107742,10,1004,47,49
331.0,0.07,0.0,20.74,157.31,158.97,71.55,108595,8,998,47,45
361.0,0.07,0.0,19.34,146.79,158.97,71.62,109046,10,1008,47,50
391.2,0.05,0.0,17.36,134.14,158.97,71.52,109897,7,1002,47,46
421.3,0.03,0.0,14.49,122.92,158.97,71.58,110335,9,1008,47,50
451.4,0.03,0.0,13.78,112.4,158.97,71.52,111185,7,1002,47,46
481.4,0.06,0.0,13.01,109.18,158.97,71.55,111622,8,1004,47,49
511.5,0.05,0.0,12.54,109.14,158.97,71.48,112472,6,998,47,45
541.6,0.04,0.0,11.49,109.17,158.97,71.55,112909,8,1004,47,49
571.7,0.01,0.0,11.48,110.28,158.97,71.59,113761,6,998,47,45
601.8,0.03,0.0,12.23,108.17,158.97,71.64,114223,11,1004,47,49
631.9,0.02,0.0,10.41,108.15,158.97,71.58,115076,9,998,47,45
662.0,0.03,0.0,9.95,109.43,158.97,71.65,115518,8,1004,47,49
692.1,0.01,0.0,8.86,108.14,158.97,71.48,116042,6,998,47,45
722.2,0.04,0.0,7.96,107.92,158.97,71.61,116493,10,1008,47,50
752.3,0.02,0.0,7.77,107.86,158.97,71.55,117345,8,1002,47,46
782.4,0.04,0.0,9.26,107.9,158.97,71.61,117784,10,1008,47,50
812.5,0.04,0.0,9.03,107.84,158.97,71.48,118636,6,998,47,45
842.6,0.03,0.0,9.24,107.88,158.97,71.55,119073,8,1004,47,49
872.6,0.03,0.0,9.15,107.87,158.97,71.48,119929,6,998,47,45
902.7,0.02,0.0,8.5,107.9,158.97,71.55,120365,8,1004,47,49
932.8,0.01,0.0,5.87,107.56,158.97,71.52,121243,7,998,47,45
962.9,0.04,0.0,4.44,107.98,158.97,71.58,121796,9,1004,47,49
993.0,0.01,0.0,3.93,107.59,158.97,71.52,122653,7,998,47,45
1023.1,0.03,0.0,5.68,107.98,158.97,71.55,123186,8,1004,47,49
1053.2,0.01,0.0,5.36,107.96,158.97,71.48,124038,6,998,47,45
1083.3,0.01,0.0,4.29,108.02,158.97,71.61,124485,10,1008,47,50
1113.4,0.03,0.0,4.22,108.01,158.97,71.55,125669,8,1002,47,46
1143.5,0.02,0.0,5.61,108.04,158.97,71.61,126105,10,1008,47,50
1173.6,0.01,0.0,5.44,108.02,158.97,71.55,126958,8,1002,47,46
1203.6,0.02,0.0,5.3,108.04,158.97,71.55,127399,8,1004,47,49
1233.7,0.03,0.0,5.41,108.02,158.97,71.48,128250,6,998,47,45
1263.8,0.02,0.0,5.41,108.05,158.97,71.55,128691,8,1004,47,49
1293.9,0.02,0.0,4.6,108.04,158.97,71.49,129544,6,998,47,45
1324.0,0.02,0.0,4.36,108.07,158.97,71.55,129981,8,1004,47,49
1354.1,0.02,0.0,4.01,108.07,158.97,71.49,130840,6,998,47,45
1384.2,0.03,0.0,3.99,108.11,158.97,71.55,131276,8,1004,47,49
1414.3,0.02,0.0,4.13,108.09,158.97,71.49,132129,6,998,47,45
1444.4,0.01,0.0,3.56,108.15,158.97,71.62,132576,10,1008,47,50
1474.5,0.03,0.0,3.76,108.12,158.97,71.56,133427,8,1002,47,46
1504.6,0.01,0.0,2.72,108.16,158.97,71.62,133864,10,1008,47,50
1534.7,0.03,0.0,2.53,108.09,158.97,71.49,134714,6,998,47,45
1564.8,0.01,0.0,2.3,108.15,158.97,71.55,135156,8,1004,47,49
1594.9,0.03,0.0,2.68,108.14,158.97,71.49,136014,6,998,47,45
1624.9,0.02,0.0,1.59,108.21,158.97,71.55,136460,8,1004,47,49
1655.0,0.01,0.0,2.21,108.2,158.97,71.49,137315,6,998,47,45
1685.1,0.01,0.0,2.49,108.24,158.97,71.55,137754,8,1004,47,49
1715.2,0.02,0.0,2.68,108.21,158.97,71.49,138605,6,998,47,45
1745.3,0.02,0.0,2.19,108.25,158.97,71.55,139043,8,1004,47,49
1775.4,0.02,0.0,3.1,108.23,158.97,71.49,139895,6,998,47,45
1805.5,0.02,0.0,3.83,108.31,158.97,71.62,140346,10,1008,47,50
